temperature;global_horizontal_rad;direct_normal_rad;dif_rad_horizontal;irr_rad;wind_speed;humidity
3.8;52;0;52;304;1.5;80
3.6;37;0;37;302;3.1;76
3.7;41;0;41;293;2.6;72
3.5;2;0;2;301;3.6;74
2.7;0;0;0;296;4.1;70
2.5;0;0;0;295;3.1;71
2.0;0;0;0;293;4.1;73
1.9;0;0;0;292;3.1;71
1.8;0;0;0;292;3.6;74
1.6;0;0;0;291;3.1;74
1.6;0;0;0;291;3.1;72
1.3;0;0;0;289;2.6;72
1.0;0;0;0;288;1.5;73
0.9;0;0;0;288;2.6;77
0.7;0;0;0;287;2.1;79
0.6;0;0;0;287;2.1;78
0.4;0;0;0;286;1.0;78
0.4;0;0;0;286;2.1;78
0.4;0;0;0;286;1.0;80
0.1;8;0;8;287;1.0;95
0.0;29;0;29;284;1.5;80
0.2;48;0;48;285;1.0;82
0.3;59;0;59;285;0.0;79
0.5;61;0;61;286;2.1;77
0.5;53;0;53;286;1.5;80
0.8;38;0;38;288;0.0;80
1.0;17;0;17;289;0.0;79
1.3;2;0;2;290;2.1;76
0.8;0;0;0;280;2.6;82
1.0;0;0;0;289;3.1;82
1.4;0;0;0;291;2.6;80
1.6;0;0;0;292;1.5;83
1.7;0;0;0;293;2.1;83
1.6;0;0;0;293;2.6;83
1.7;0;0;0;293;2.1;81
1.7;0;0;0;292;2.1;76
1.7;0;0;0;292;2.6;76
1.8;0;0;0;292;2.1;74
1.7;0;0;0;292;1.0;78
1.7;0;0;0;292;1.0;78
2.0;0;0;0;294;0.5;81
2.1;0;0;0;295;2.1;81
2.6;0;0;0;298;2.6;82
2.9;9;0;9;299;2.6;82
3.2;30;0;30;301;2.1;82
3.3;48;0;48;302;2.1;84
3.7;59;0;59;304;2.1;83
3.8;61;0;61;304;2.6;83
3.8;54;0;54;305;2.6;85
3.7;38;0;38;304;3.1;86
3.4;17;0;17;303;3.6;88
3.1;2;0;2;302;3.6;91
3.0;0;0;0;301;3.1;91
2.9;0;0;0;301;3.6;90
2.8;0;0;0;300;3.1;92
2.8;0;0;0;300;2.6;92
2.8;0;0;0;300;2.6;92
2.7;0;0;0;300;2.6;94
2.7;0;0;0;300;3.1;92
2.6;0;0;0;299;3.1;93
2.6;0;0;0;299;2.6;93
2.6;0;0;0;300;2.6;94
2.5;0;0;0;299;2.6;94
2.5;0;0;0;299;2.1;94
2.5;0;0;0;299;2.1;94
2.6;0;0;0;300;2.1;94
2.6;0;0;0;300;2.6;94
2.7;9;0;9;300;2.6;93
2.6;30;0;30;300;3.1;94
2.8;49;0;49;300;2.6;92
2.9;60;0;60;301;2.6;91
3.2;62;0;62;302;2.6;88
3.4;55;0;55;303;2.6;86
3.3;39;0;39;302;2.6;88
3.5;46;0;46;293;1.5;78
3.3;6;0;6;293;2.1;80
3.2;0;0;0;300;2.6;78
3.0;0;0;0;299;3.6;79
3.1;0;0;0;300;3.1;79
3.1;0;0;0;301;3.6;84
2.8;0;0;0;300;2.1;87
2.8;0;0;0;299;2.1;82
2.9;0;0;0;298;1.5;77
2.8;0;0;0;298;1.0;79
2.9;0;0;0;298;1.5;77
3.1;0;0;0;299;1.0;76
3.0;0;0;0;299;1.5;78
2.9;0;0;0;299;1.5;81
3.2;0;0;0;300;1.0;78
3.2;0;0;0;300;1.5;78
3.4;0;0;0;300;2.6;74
3.5;10;0;10;300;1.0;71
3.5;80;10;78;292;1.5;71
3.7;50;0;50;301;1.0;71
3.8;61;0;61;302;1.5;71
3.7;63;0;63;301;3.1;71
3.4;56;0;56;300;2.1;70
3.4;40;0;40;300;2.1;70
2.9;19;0;19;297;2.1;71
2.7;3;0;3;297;1.5;73
2.5;0;0;0;295;1.5;70
2.2;0;0;0;294;2.1;74
2.0;0;0;0;293;2.1;73
1.8;0;0;0;292;2.1;75
1.6;0;0;0;291;1.5;76
1.5;0;0;0;291;2.1;76
1.3;0;0;0;290;2.1;77
1.3;0;0;0;290;2.1;76
1.1;0;0;0;289;2.1;78
1.1;0;0;0;289;2.1;75
1.1;0;0;0;288;2.1;73
1.0;0;0;0;288;1.5;76
1.0;0;0;0;288;1.0;76
0.9;0;0;0;288;1.0;76
1.0;0;0;0;288;2.6;76
1.3;10;0;10;289;2.1;72
1.2;32;0;32;289;1.5;76
1.3;51;0;51;290;2.1;74
1.5;62;0;62;290;2.1;71
